,Ticker,Company Name,Industry,kpi_name,kpi_category,kpi_unit,kpi output type,kpi_description,kpi_tags,kpi source,kpi calc type,kpi formula,var_b_type,var_a_name,var_b_type,var_b_name
1,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Geographic Revenue - Revenue from Foreign,Geographic Revenue,$,$,Currency value of Geographic Revenue,"geographic,  revenue,  revenue,  foreign, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Geographic Revenue,n,Number of Regions
2,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Geographic Revenue - Revenue from United States,Geographic Revenue,$,$,Currency value of Geographic Revenue,"geographic,  revenue,  revenue,  united_states, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Geographic Revenue,n,Number of Regions
3,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Inventory - Total Consolidated-ending Inventory at Cost,Inventory,$,$,Currency value of Total inventory,"inventory,  total_consolidated_ending_inventory_at_cost, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Total inventory,n,Number of Locations
4,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - AE77 Store ,New Stores Openings,stores,#,Currency value of New Store Openings,"new_store,  openings,  ae77,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
5,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Aerie Side-by-side Store ,New Stores Openings,stores,#,Currency value of New Store Openings,"new_store,  openings,  aerie_side_by_side,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
6,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Aerie stand-alone Store ,New Stores Openings,stores,#,Currency value of New Store Openings,"new_store,  openings,  aerie_st,  _alone,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
7,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Todd Snyder Store ,New Stores Openings,stores,#,Currency value of New Store Openings,"new_store,  openings,  todd_snyder,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
8,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Unsubscribed Store,New Stores Openings,stores,#,Currency value of New Store Openings,"new_store,  openings,  unsubscribed,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
9,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue - Aerie Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  aerie,  revenue, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
10,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue - American Eagle Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  american_eagle,  revenue, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
11,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue - Corporate Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  corporate,  revenue, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
12,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Store Closures - Aerie Stand-alone Store,Store Closures,stores,$,Currency value of Store Closures,"store_closures,  aerie_st,  _alone,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores Closures,n,Number of Stores
13,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Store Closures - American Eagle Brand Store,Store Closures,stores,$,Currency value of Store Closures,"store_closures,  american_eagle_br,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores Closures,n,Number of Stores
14,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Total Stores - International Licensed/Franchised Stores,Total Stores,stores,$,Currency value of Total Store Franchise,"total,  stores, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Total Stores Franchise,n,Number of Stores
15,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,"Total Stores - International Third-Party Operated Stores, non-Inclusive in the Consolidated Store Data",Total Stores,stores,$,Currency value of Total Store,"total,  stores, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Total Stores,n,Number of Stores
16,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,"Total Stores - Total Consolidated Stores, Inclusive of New Openings",Total Stores,stores,$,Currency value of Total New Store Openings,"total,  stores,  total_consolidated,  stores,  lusive_new,  openings, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Total New Stores Openings,n,Number of Stores
17,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Total Stores Area - Total Gross Square Footage,Total Stores Area,sqf,A,Area of Total Gross Store,"total,  stores,  total_gross,  square_footage, aeo, american eagle outfitters, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Total Gross Stores,n,Number of Stores
18,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Brand - Abercrombie,Net Sales by Brand,$,$,Currency value of Net Sales,"net_sales,  abercrombie, anf, abercrombie & fitch co., apparel retailers",EventVester,,A,A,Brand Revenue previous period,,
19,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Brand - Hollister,Net Sales by Brand,$,$,Currency value of Net Sales,"net_sales,  hollister, anf, abercrombie & fitch co., apparel retailers",EventVester,,A,A,Brand Revenue previous period,,
20,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region - APAC,Net Sales by Region,$,$,Currency value of Net Sales,"net_sales,  region,  apac, anf, abercrombie & fitch co., apparel retailers",EventVester,,A,A,Net Sales,,
21,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region - EMEA,Net Sales by Region,$,$,Currency value of Net Sales,"net_sales,  region,  emea, anf, abercrombie & fitch co., apparel retailers",EventVester,,A,A,Net Sales,,
22,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region - Other,Net Sales by Region,$,$,Currency value of Net Sales,"net_sales,  region,  other, anf, abercrombie & fitch co., apparel retailers",EventVester,,A,A,Net Sales,,
23,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region - United States,Net Sales by Region,$,$,Currency value of Net Sales,"net_sales,  region,  united_states, anf, abercrombie & fitch co., apparel retailers",EventVester,,A,A,Net Sales,,
24,BBWI,Bath & Body Works Inc,Apparel Retailers,Company Operated Stores - Canada,Company Operated Stores,stores,$,Currency value of Store,"stores,  canada, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
25,BBWI,Bath & Body Works Inc,Apparel Retailers,Company Operated Stores - United States,Company Operated Stores,stores,$,Currency value of Store,"stores,  united_states, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
26,BBWI,Bath & Body Works Inc,Apparel Retailers,New Store Count - Company Operated stores,New Store Count,stores,#,Number of New Store Count,"new_store,  count,  company_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,New Stores Count,n,Number of Stores
27,BBWI,Bath & Body Works Inc,Apparel Retailers,New Store Count - Partner operated stores,New Store Count,stores,#,Number of New Store Count,"new_store,  count,  partner_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,New Stores Count,n,Number of Stores
28,BBWI,Bath & Body Works Inc,Apparel Retailers,New Stores Openings - Company-Operated Stores ,New Stores Openings,stores,#,Number of New Store Openings,"new_store,  openings,  company_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
29,BBWI,Bath & Body Works Inc,Apparel Retailers,New Stores Openings - Partner-Operated Stores,New Stores Openings,stores,#,Number of New Store Openings,"new_store,  openings,  partner_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
30,BBWI,Bath & Body Works Inc,Apparel Retailers,Partner Operated Stores - International,Partner Operated Stores,stores,$,Currency value of Store,"stores,  international, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
31,BBWI,Bath & Body Works Inc,Apparel Retailers,Partner Operated Stores - International- Travel Retail,Partner Operated Stores,stores,$,Currency value of Store,"stores,  international,  travel_retail, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
32,BBWI,Bath & Body Works Inc,Apparel Retailers,Partner operated stores,Partner operated stores,stores,$,Currency value of Store,"stores,  partner_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
33,BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue - Bath & Body Works Direct,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  bath,  body_works_direct, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
34,BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue - Bath & Body Works International,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  bath,  body_works_international, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
35,BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue - Bath & Body Works Stores - U.S. and Canada,Segment Revenue,$,$,Currency value of Segment Store Revenue,"segment,  revenue,  bath,  body_works,  stores,  us,  canada, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Stores Revenue,n,Number of Stores
36,BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue - Victoria's Secret Direct,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  victorias_secret_direct, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
37,BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue - Victoria's Secret International,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  victorias_secret_international, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
38,BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue - Victoria's Secret Stores - U.S. and Canada,Segment Revenue,$,$,Currency value of Segment Store Revenue,"segment,  revenue,  victorias_secret,  stores,  us,  canada, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Stores Revenue,n,Number of Stores
39,BBWI,Bath & Body Works Inc,Apparel Retailers,Store Closures - Company-Operated Stores ,Store Closures,stores,$,Currency value of Store Closures,"store_closures,  company_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores Closures,n,Number of Stores
40,BBWI,Bath & Body Works Inc,Apparel Retailers,Store Closures - Partner-Operated Stores,Store Closures,stores,$,Currency value of Store Closures,"store_closures,  partner_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores Closures,n,Number of Stores
41,CHS,"Chico's FAS, Inc.",Apparel Retailers,Sales - Comparable Sales,Sales,%,%,Percentage of Sales,"sales,  comparable_sales, chs, chico's fas, apparel retailers",EventVester,,(A-B)/A,A,Sales,B, Sales previous period
42,CHS,"Chico's FAS, Inc.",Apparel Retailers,Segment Revenue - Chico's Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  chicos,  revenue, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
43,CHS,"Chico's FAS, Inc.",Apparel Retailers,Segment Revenue - Soma Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  soma,  revenue, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
44,CHS,"Chico's FAS, Inc.",Apparel Retailers,Segment Revenue - White House Black Market Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  white_house_black_market,  revenue, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
45,CHS,"Chico's FAS, Inc.",Apparel Retailers,Selling Square Footage - Net Selling Square Footage (SSF),Selling Square Footage,sqf,A,Area of Net Selling,"selling,  square_footage,  net_selling,  square_footage,  (ssf), chs, chico's fas, apparel retailers",EventVester,,A-B,A,Net Selling,B, Selling Square Footage previous value
46,CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores - Franchised Stores,Stores,stores,$,Currency value of Store Franchise,"stores,  franchised_stores, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores Franchise,n,Number of Stores
47,CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores - Total Stores,Stores,stores,$,Currency value of Total Store,"stores,  total,  stores, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Total Stores,n,Number of Stores
48,CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores - Chico's Frontline Boutiques ,Stores,stores,$,Currency value of Store,"stores,  chicos_frontline_boutiques, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
49,CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores - Chico's Outlets ,Stores,stores,$,Currency value of Store,"stores,  chicos_outlets, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
50,CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores - Soma Frontline Boutiques ,Stores,stores,$,Currency value of Store,"stores,  soma_frontline_boutiques, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
51,CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores - Soma Outlets ,Stores,stores,$,Currency value of Store,"stores,  soma_outlets, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
52,CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores - WHBM Frontline Boutiques ,Stores,stores,$,Currency value of Store,"stores,  whbm_frontline_boutiques, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
53,CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores - WHBM Outlets ,Stores,stores,$,Currency value of Store,"stores,  whbm_outlets, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
54,CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores - Store Closures,Stores,stores,$,Currency value of Store Closures,"stores,  store_closures, chs, chico's fas, apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores Closures,n,Number of Stores
55,CRI,Carter's Inc.,Apparel Retailers,Geographic Net Sales - International,Geographic Net Sales,$,$,Currency value of Net Geographic Sales,"geographic,  net_sales,  international, cri, carter's , apparel retailers",EventVester,,A-B,A,Net Geographic Sales,B, Previous Period Sales
56,CRI,Carter's Inc.,Apparel Retailers,Geographic Net Sales - U.S. Retail,Geographic Net Sales,$,$,Currency value of Net Geographic Sales,"geographic,  net_sales,  us_retail, cri, carter's , apparel retailers",EventVester,,A-B,A,Net Geographic Sales,B, Previous Period Sales
57,CRI,Carter's Inc.,Apparel Retailers,Geographic Net Sales - U.S. Wholesale,Geographic Net Sales,$,$,Currency value of Net Geographic Sales,"geographic,  net_sales,  us_wholesale, cri, carter's , apparel retailers",EventVester,,A-B,A,Net Geographic Sales,B, Previous Period Sales
58,CRI,Carter's Inc.,Apparel Retailers,Revenue by Source - Direct-to-consumer,Revenue by Source,$,$,Currency value of Sum of Revenue,"revenue,  source,  direct,  consumer, cri, carter's , apparel retailers",EventVester,,A,A,Sum of Revenue,, 
59,CRI,Carter's Inc.,Apparel Retailers,Revenue by Source - Wholesale channel,Revenue by Source,$,$,Currency value of Revenue,"revenue,  source,  wholesale_channel, cri, carter's , apparel retailers",EventVester,,A,A,Revenue,, 
60,CURV,Torrid Holdings Inc,Apparel Retailers,Revenue by Product Category - Apparel Net Sales,Revenue by Product Category,$,$,Currency value of Net Sales Revenue,"revenue,  apparel,  net_sales, curv, torrid holdings , apparel retailers",EventVester,,A,A,Net Sales Revenue,B, Sales Revenue previous period
61,CURV,Torrid Holdings Inc,Apparel Retailers,Revenue by Product Category - Non-Apparel Net Sales,Revenue by Product Category,$,$,Currency value of Net Sales Revenue,"revenue,  non_apparel,  net_sales, curv, torrid holdings , apparel retailers",EventVester,,A,A,Net Sales Revenue,B, Sales Revenue previous period
62,DLTH,Duluth Holdings Inc,Apparel Retailers,Segment Revenue - Direct-to-consumer,Segment Revenue,$,$,Currency value of Segment Sum of Revenue,"segment,  revenue,  direct,  consumer, dlth, duluth holdings , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Sum of Revenue,n,Number of Segments
63,DLTH,Duluth Holdings Inc,Apparel Retailers,Segment Revenue - Stores,Segment Revenue,$,$,Currency value of Segment Store Revenue,"segment,  revenue,  stores, dlth, duluth holdings , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Stores Revenue,n,Number of Stores
64,EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores - Closed,No. of Company-Operated Stores,stores,#,Number of Store,"closed, expr, express, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,Stores,n,Number of Stores
65,EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores - Express Edit Concept Stores,No. of Company-Operated Stores,stores,#,Number of Store,"express_edit_concept,  stores, expr, express, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,Stores,n,Number of Stores
66,EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores - Opened,No. of Company-Operated Stores,stores,#,Number of Store,"opened, expr, express, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,Stores,n,Number of Stores
67,EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores - Outlet Stores,No. of Company-Operated Stores,stores,#,Number of Store,"outlet_stores, expr, express, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,Stores,n,Number of Stores
68,EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores - Retail Stores,No. of Company-Operated Stores,stores,#,Number of Store,"retail,  stores, expr, express, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,Stores,n,Number of Stores
69,EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores - Store Count,No. of Company-Operated Stores,stores,#,Number of Store Count,"store,  count, expr, express, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,Stores Count,n,Number of Stores
70,EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores - UpWest Stores,No. of Company-Operated Stores,stores,#,Number of Store,"upwest,  stores, expr, express, apparel retailers",EventVester,,"COUNT(A1, A2,…,An)",Ai,Stores,n,Number of Stores
71,EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Channel - Other Channel revenue,Segment Revenue by Channel,$,$,Currency value of Segment Revenue,"segment,  revenue,  channel,  other_channel,  revenue, expr, express, apparel retailers",EventVester,,A,A,Segment Revenue,, 
72,EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Channel - Outlet Revenue,Segment Revenue by Channel,$,$,Currency value of Segment Revenue,"segment,  revenue,  channel,  outlet,  revenue, expr, express, apparel retailers",EventVester,,A,A,Segment Revenue,, 
73,EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Channel - Retail Revenue,Segment Revenue by Channel,$,$,Currency value of Segment Revenue,"segment,  revenue,  channel,  retail,  revenue, expr, express, apparel retailers",EventVester,,A,A,Segment Revenue,, 
74,EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Product - Accessories and other Revenue,Segment Revenue by Product,$,$,Currency value of Segment Revenue,"segment,  revenue,  product,  accessories,  other,  revenue, expr, express, apparel retailers",EventVester,,A,A,Segment Revenue,, 
