,Ticker,Company Name,Industry,kpi name,KPI Category,Unit Type,kpi output type,kpi tags,kpi source,kpi calc type,kpi formula,var a type,var a name,var b type,var a type
1,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Geographic Revenue - Revenue from Foreign,Geographic Revenue,$,$,"geographic,  revenue,  revenue,  foreign, aeo, american eagle outfitters, apparel retailers",EventVester,,(A1+A2+...+An)/n,,,,
2,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Geographic Revenue - Revenue from United States,Geographic Revenue,$,$,"geographic,  revenue,  revenue,  united_states, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
3,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Inventory - Total Consolidated-ending Inventory at Cost,Inventory,$,$,"inventory,  total_consolidated_ending_inventory_at_cost, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
4,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - AE77 Store ,New Stores Openings,stores,$,"new_store,  openings,  ae77,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
5,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Aerie Side-by-side Store ,New Stores Openings,stores,$,"new_store,  openings,  aerie_side_by_side,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
6,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Aerie stand-alone Store ,New Stores Openings,stores,$,"new_store,  openings,  aerie_st,  _alone,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
7,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Todd Snyder Store ,New Stores Openings,stores,$,"new_store,  openings,  todd_snyder,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
8,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Unsubscribed Store,New Stores Openings,stores,$,"new_store,  openings,  unsubscribed,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
9,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue - Aerie Revenue,Segment Revenue,$,$,"segment,  revenue,  aerie,  revenue, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
10,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue - American Eagle Revenue,Segment Revenue,$,$,"segment,  revenue,  american_eagle,  revenue, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
11,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue - Corporate Revenue,Segment Revenue,$,$,"segment,  revenue,  corporate,  revenue, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
12,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Store Closures - Aerie Stand-alone Store,Store Closures,stores,$,"store_closures,  aerie_st,  _alone,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
13,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Store Closures - American Eagle Brand Store,Store Closures,stores,$,"store_closures,  american_eagle_br,  store, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
14,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Total Stores - International Licensed/Franchised Stores,Total Stores,stores,$,"total,  stores, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
15,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,"Total Stores - International Third-Party Operated Stores, non-Inclusive in the Consolidated Store Data",Total Stores,stores,$,"total,  stores, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
16,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,"Total Stores - Total Consolidated Stores, Inclusive of New Openings",Total Stores,stores,$,"total,  stores,  total_consolidated,  stores,  lusive_new,  openings, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
17,AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Total Stores Area - Total Gross Square Footage,Total Stores Area,sqf,#,"total,  stores,  total_gross,  square_footage, aeo, american eagle outfitters, apparel retailers",EventVester,,,,,,
18,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Brand - Abercrombie,Net Sales by Brand,$,$,"net_sales,  abercrombie, anf, abercrombie & fitch co., apparel retailers",EventVester,,,,,,
19,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Brand - Hollister,Net Sales by Brand,$,$,"net_sales,  hollister, anf, abercrombie & fitch co., apparel retailers",EventVester,,,,,,
20,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region - APAC,Net Sales by Region,$,$,"net_sales,  region,  apac, anf, abercrombie & fitch co., apparel retailers",EventVester,,,,,,
21,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region - EMEA,Net Sales by Region,$,$,"net_sales,  region,  emea, anf, abercrombie & fitch co., apparel retailers",EventVester,,,,,,
22,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region - Other,Net Sales by Region,$,$,"net_sales,  region,  other, anf, abercrombie & fitch co., apparel retailers",EventVester,,,,,,
23,ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region - United States,Net Sales by Region,$,$,"net_sales,  region,  united_states, anf, abercrombie & fitch co., apparel retailers",EventVester,,,,,,
24,BBWI,Bath & Body Works Inc,Apparel Retailers,Company Operated Stores - Canada,Company Operated Stores,stores,$,"stores,  canada, bbwi, bath & body works , apparel retailers",EventVester,,,,,,
25,BBWI,Bath & Body Works Inc,Apparel Retailers,Company Operated Stores - United States,Company Operated Stores,stores,$,"stores,  united_states, bbwi, bath & body works , apparel retailers",EventVester,,,,,,
26,BBWI,Bath & Body Works Inc,Apparel Retailers,New Store Count - Company Operated stores,New Store Count,stores,$,"new_store,  count,  company_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,,,,,
27,BBWI,Bath & Body Works Inc,Apparel Retailers,New Store Count - Partner operated stores,New Store Count,stores,$,"new_store,  count,  partner_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,,,,,
28,BBWI,Bath & Body Works Inc,Apparel Retailers,New Stores Openings - Company-Operated Stores ,New Stores Openings,stores,$,"new_store,  openings,  company_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,,,,,
29,BBWI,Bath & Body Works Inc,Apparel Retailers,New Stores Openings - Partner-Operated Stores,New Stores Openings,stores,$,"new_store,  openings,  partner_operated,  stores, bbwi, bath & body works , apparel retailers",EventVester,,,,,,
