Ticker,Company Name,Industry,KPI Category,KPI Name,KPI Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Geographic Revenue,Revenue from Foreign,$M
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Geographic Revenue,Revenue from United States,$M
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Inventory,Total Consolidated-ending Inventory at Cost,$M
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings,AE77 Store ,Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings,Aerie Side-by-side Store ,Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings,Aerie stand-alone Store ,Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings,Todd Snyder Store ,Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings,Unsubscribed Store,Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue,Aerie Revenue,$M
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue,American Eagle Revenue,$M
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue,Corporate Revenue,$M
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Store Closures,Aerie Stand-alone Store,Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Store Closures,American Eagle Brand Store,Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Total Stores,International Licensed/Franchised Stores,Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Total Stores,"International Third-Party Operated Stores, non-Inclusive in the Consolidated Store Data",Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Total Stores,"Total Consolidated Stores, Inclusive of New Openings",Units
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Total Stores Area,Total Gross Square Footage,M Square Feet
ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Brand,Abercrombie,$M
ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Brand,Hollister,$M
ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region,APAC,$M
ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region,EMEA,$M
ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region,Other,$M
ANF,ABERCROMBIE & FITCH CO.,Apparel Retailers,Net Sales by Region,United States,$M
BBWI,Bath & Body Works Inc,Apparel Retailers,Company Operated Stores,Canada,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,Company Operated Stores,United States,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,New Store Count,Company Operated stores,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,New Store Count,Partner operated stores,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,New Stores Openings,Company-Operated Stores ,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,New Stores Openings,Partner-Operated Stores,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,Partner Operated Stores,International,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,Partner Operated Stores,International- Travel Retail,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,Partner operated stores,Partner operated stores,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue,Bath & Body Works Direct,$M
BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue,Bath & Body Works International,$M
BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue,Bath & Body Works Stores - U.S. and Canada,$M
BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue,Victoria's Secret Direct,$M
BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue,Victoria's Secret International,$M
BBWI,Bath & Body Works Inc,Apparel Retailers,Segment Revenue,Victoria's Secret Stores - U.S. and Canada,$M
BBWI,Bath & Body Works Inc,Apparel Retailers,Store Closures,Company-Operated Stores ,Units
BBWI,Bath & Body Works Inc,Apparel Retailers,Store Closures,Partner-Operated Stores,Units
CHS,"Chico's FAS, Inc.",Apparel Retailers,Sales,Comparable Sales,%
CHS,"Chico's FAS, Inc.",Apparel Retailers,Segment Revenue,Chico's Revenue,$M
CHS,"Chico's FAS, Inc.",Apparel Retailers,Segment Revenue,Soma Revenue,$M
CHS,"Chico's FAS, Inc.",Apparel Retailers,Segment Revenue,White House Black Market Revenue,$M
CHS,"Chico's FAS, Inc.",Apparel Retailers,Selling Square Footage,Net Selling Square Footage (SSF),M Square Feet
CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores,Franchised Stores,Units
CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores,Total Stores,Units
CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores,Chico's Frontline Boutiques ,Units
CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores,Chico's Outlets ,Units
CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores,Soma Frontline Boutiques ,Units
CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores,Soma Outlets ,Units
CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores,WHBM Frontline Boutiques ,Units
CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores,WHBM Outlets ,Units
CHS,"Chico's FAS, Inc.",Apparel Retailers,Stores,Store Closures,Units
CRI,Carter's Inc.,Apparel Retailers,Geographic Net Sales,International,$M
CRI,Carter's Inc.,Apparel Retailers,Geographic Net Sales,U.S. Retail,$M
CRI,Carter's Inc.,Apparel Retailers,Geographic Net Sales,U.S. Wholesale,$M
CRI,Carter's Inc.,Apparel Retailers,Revenue by Source,Direct-to-consumer,$M
CRI,Carter's Inc.,Apparel Retailers,Revenue by Source,Wholesale channel,$M
CURV,Torrid Holdings Inc,Apparel Retailers,Revenue by Product Category,Apparel Net Sales,$M
CURV,Torrid Holdings Inc,Apparel Retailers,Revenue by Product Category,Non-Apparel Net Sales,$M
DLTH,Duluth Holdings Inc,Apparel Retailers,Segment Revenue,Direct-to-consumer,$M
DLTH,Duluth Holdings Inc,Apparel Retailers,Segment Revenue,Stores,$M
EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores,Closed,Stores
EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores,Express Edit Concept Stores,Stores
EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores,Opened,Stores
EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores,Outlet Stores,Stores
EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores,Retail Stores,Stores
EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores,Store Count,Stores
EXPR,"EXPRESS, INC.",Apparel Retailers,No. of Company-Operated Stores,UpWest Stores,Stores
EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Channel,Other Channel revenue,$M
EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Channel,Outlet Revenue,$M
EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Channel,Retail Revenue,$M
EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Product,Accessories and other Revenue,$M
EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Product,Apparel Revenue,$M
EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Product,Other Product revenue,$M
GCO,GENESCO INC,Apparel Retailers,Segment Revenue,Corporate and Other Revenue,$M
GCO,GENESCO INC,Apparel Retailers,Segment Revenue,Johnston & Murphy Group Revenue,$M
GCO,GENESCO INC,Apparel Retailers,Segment Revenue,Journeys Group Revenue,$M
GCO,GENESCO INC,Apparel Retailers,Segment Revenue,Licensed Brands Revenue,$M
GCO,GENESCO INC,Apparel Retailers,Segment Revenue,Schuh Group Revenue,$M
GCO,GENESCO INC,Apparel Retailers,Stores,Store Closed,Units
GCO,GENESCO INC,Apparel Retailers,Stores,Total Stores,Units
GES,GUESS INC,Apparel Retailers,Revenue by Geographic area,Canada,$M
GES,GUESS INC,Apparel Retailers,Revenue by Geographic area,Germany,$M
GES,GUESS INC,Apparel Retailers,Revenue by Geographic area,Italy,$M
GES,GUESS INC,Apparel Retailers,Revenue by Geographic area,Other foreign countries,$M
GES,GUESS INC,Apparel Retailers,Revenue by Geographic area,South Korea,$M
GES,GUESS INC,Apparel Retailers,Revenue by Geographic area,Spain,$M
GES,GUESS INC,Apparel Retailers,Revenue by Geographic area,U.S.,$M
GES,GUESS INC,Apparel Retailers,Revenue by Product,Net royalties ,$M
GES,GUESS INC,Apparel Retailers,Revenue by Product,Product sales,$M
GES,GUESS INC,Apparel Retailers,Segment Revenue,Americas Retail,$M
GES,GUESS INC,Apparel Retailers,Segment Revenue,Americas Retail comp sales,% Decrease YOY
GES,GUESS INC,Apparel Retailers,Segment Revenue,Americas Retail comp sales,% Increase YOY
GES,GUESS INC,Apparel Retailers,Segment Revenue,Americas Wholesale,$M
GES,GUESS INC,Apparel Retailers,Segment Revenue,Americas Wholesale,% Increase YOY
GES,GUESS INC,Apparel Retailers,Segment Revenue,Asia,$M
GES,GUESS INC,Apparel Retailers,Segment Revenue,Asia Retail comp sales,% Decrease YOY
GES,GUESS INC,Apparel Retailers,Segment Revenue,Asia Retail comp sales,% Increase YOY
GES,GUESS INC,Apparel Retailers,Segment Revenue,Europe,$M
GES,GUESS INC,Apparel Retailers,Segment Revenue,Europe Retail comp sales,% Decrease YOY
GES,GUESS INC,Apparel Retailers,Segment Revenue,Europe Retail comp sales,% Increase YOY
GES,GUESS INC,Apparel Retailers,Segment Revenue,Licensing,$M
GES,GUESS INC,Apparel Retailers,Segment Revenue,Licensing,% Increase YOY
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Brand,Athleta Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Brand,Banana Republic Global Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Brand,Gap Global,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Brand,Gap Global Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Brand,Old Navy Global,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Brand,Old Navy Global Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Brand,Other Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Brand,Total net sales,$M
