ticker,company_name,kpi_name,kpi_id,kpi_category
AEO,"American Eagle Outfitters, Inc.",Geographic Revenue - Revenue from Foreign,0,Geographic Revenue
AEO,"American Eagle Outfitters, Inc.",Geographic Revenue - Revenue from United States,1,Geographic Revenue
AEO,"American Eagle Outfitters, Inc.",Inventory - Total Consolidated-ending Inventory at Cost,2,Inventory
AEO,"American Eagle Outfitters, Inc.",New Stores Openings - AE77 Store ,3,New Stores Openings
AEO,"American Eagle Outfitters, Inc.",New Stores Openings - Aerie Side-by-side Store ,4,New Stores Openings
AEO,"American Eagle Outfitters, Inc.",New Stores Openings - Aerie stand-alone Store ,5,New Stores Openings
AEO,"American Eagle Outfitters, Inc.",New Stores Openings - Todd Snyder Store ,6,New Stores Openings
AEO,"American Eagle Outfitters, Inc.",New Stores Openings - Unsubscribed Store,7,New Stores Openings
AEO,"American Eagle Outfitters, Inc.",Segment Revenue - Aerie Revenue,8,Segment Revenue
AEO,"American Eagle Outfitters, Inc.",Segment Revenue - American Eagle Revenue,9,Segment Revenue
AEO,"American Eagle Outfitters, Inc.",Segment Revenue - Corporate Revenue,10,Segment Revenue
AEO,"American Eagle Outfitters, Inc.",Store Closures - Aerie Stand-alone Store,11,Store Closures
AEO,"American Eagle Outfitters, Inc.",Store Closures - American Eagle Brand Store,12,Store Closures
AEO,"American Eagle Outfitters, Inc.",Total Stores - International Licensed/Franchised Stores,13,Total Stores
AEO,"American Eagle Outfitters, Inc.","Total Stores - International Third-Party Operated Stores, non-Inclusive in the Consolidated Store Data",14,Total Stores
AEO,"American Eagle Outfitters, Inc.","Total Stores - Total Consolidated Stores, Inclusive of New Openings",15,Total Stores
AEO,"American Eagle Outfitters, Inc.",Total Stores Area - Total Gross Square Footage,16,Total Stores Area
ANF,ABERCROMBIE & FITCH CO.,Net Sales by Brand - Abercrombie,17,Net Sales by Brand
ANF,ABERCROMBIE & FITCH CO.,Net Sales by Brand - Hollister,18,Net Sales by Brand
ANF,ABERCROMBIE & FITCH CO.,Net Sales by Region - APAC,19,Net Sales by Region
ANF,ABERCROMBIE & FITCH CO.,Net Sales by Region - EMEA,20,Net Sales by Region
ANF,ABERCROMBIE & FITCH CO.,Net Sales by Region - Other,21,Net Sales by Region
ANF,ABERCROMBIE & FITCH CO.,Net Sales by Region - United States,22,Net Sales by Region
BBWI,Bath & Body Works Inc,Company Operated Stores - Canada,23,Company Operated Stores
BBWI,Bath & Body Works Inc,Company Operated Stores - United States,24,Company Operated Stores
BBWI,Bath & Body Works Inc,New Store Count - Company Operated stores,25,New Store Count
BBWI,Bath & Body Works Inc,New Store Count - Partner operated stores,26,New Store Count
BBWI,Bath & Body Works Inc,New Stores Openings - Company-Operated Stores ,27,New Stores Openings
BBWI,Bath & Body Works Inc,New Stores Openings - Partner-Operated Stores,28,New Stores Openings
BBWI,Bath & Body Works Inc,Partner Operated Stores - International,29,Partner Operated Stores
BBWI,Bath & Body Works Inc,Partner Operated Stores - International- Travel Retail,30,Partner Operated Stores
BBWI,Bath & Body Works Inc,Partner operated stores,31,Partner operated stores
BBWI,Bath & Body Works Inc,Segment Revenue - Bath & Body Works Direct,32,Segment Revenue
BBWI,Bath & Body Works Inc,Segment Revenue - Bath & Body Works International,33,Segment Revenue
BBWI,Bath & Body Works Inc,Segment Revenue - Bath & Body Works Stores - U.S. and Canada,34,Segment Revenue
BBWI,Bath & Body Works Inc,Segment Revenue - Victoria's Secret Direct,35,Segment Revenue
BBWI,Bath & Body Works Inc,Segment Revenue - Victoria's Secret International,36,Segment Revenue
BBWI,Bath & Body Works Inc,Segment Revenue - Victoria's Secret Stores - U.S. and Canada,37,Segment Revenue
BBWI,Bath & Body Works Inc,Store Closures - Company-Operated Stores ,38,Store Closures
BBWI,Bath & Body Works Inc,Store Closures - Partner-Operated Stores,39,Store Closures
CHS,"Chico's FAS, Inc.",Sales - Comparable Sales,40,Sales
CHS,"Chico's FAS, Inc.",Segment Revenue - Chico's Revenue,41,Segment Revenue
CHS,"Chico's FAS, Inc.",Segment Revenue - Soma Revenue,42,Segment Revenue
CHS,"Chico's FAS, Inc.",Segment Revenue - White House Black Market Revenue,43,Segment Revenue
CHS,"Chico's FAS, Inc.",Selling Square Footage - Net Selling Square Footage (SSF),44,Selling Square Footage
CHS,"Chico's FAS, Inc.",Stores - Franchised Stores,45,Stores
CHS,"Chico's FAS, Inc.",Stores - Total Stores,46,Stores
CHS,"Chico's FAS, Inc.",Stores - Chico's Frontline Boutiques ,47,Stores
CHS,"Chico's FAS, Inc.",Stores - Chico's Outlets ,48,Stores
CHS,"Chico's FAS, Inc.",Stores - Soma Frontline Boutiques ,49,Stores
CHS,"Chico's FAS, Inc.",Stores - Soma Outlets ,50,Stores
CHS,"Chico's FAS, Inc.",Stores - WHBM Frontline Boutiques ,51,Stores
CHS,"Chico's FAS, Inc.",Stores - WHBM Outlets ,52,Stores
CHS,"Chico's FAS, Inc.",Stores - Store Closures,53,Stores
CRI,Carter's Inc.,Geographic Net Sales - International,54,Geographic Net Sales
CRI,Carter's Inc.,Geographic Net Sales - U.S. Retail,55,Geographic Net Sales
CRI,Carter's Inc.,Geographic Net Sales - U.S. Wholesale,56,Geographic Net Sales
CRI,Carter's Inc.,Revenue by Source - Direct-to-consumer,57,Revenue by Source
CRI,Carter's Inc.,Revenue by Source - Wholesale channel,58,Revenue by Source
CURV,Torrid Holdings Inc,Revenue by Product Category - Apparel Net Sales,59,Revenue by Product Category
CURV,Torrid Holdings Inc,Revenue by Product Category - Non-Apparel Net Sales,60,Revenue by Product Category
DLTH,Duluth Holdings Inc,Segment Revenue - Direct-to-consumer,61,Segment Revenue
DLTH,Duluth Holdings Inc,Segment Revenue - Stores,62,Segment Revenue
EXPR,"EXPRESS, INC.",No. of Company-Operated Stores - Closed,63,No. of Company-Operated Stores
EXPR,"EXPRESS, INC.",No. of Company-Operated Stores - Express Edit Concept Stores,64,No. of Company-Operated Stores
EXPR,"EXPRESS, INC.",No. of Company-Operated Stores - Opened,65,No. of Company-Operated Stores
EXPR,"EXPRESS, INC.",No. of Company-Operated Stores - Outlet Stores,66,No. of Company-Operated Stores
EXPR,"EXPRESS, INC.",No. of Company-Operated Stores - Retail Stores,67,No. of Company-Operated Stores
EXPR,"EXPRESS, INC.",No. of Company-Operated Stores - Store Count,68,No. of Company-Operated Stores
EXPR,"EXPRESS, INC.",No. of Company-Operated Stores - UpWest Stores,69,No. of Company-Operated Stores
EXPR,"EXPRESS, INC.",Segment Revenue by Channel - Other Channel revenue,70,Segment Revenue by Channel
EXPR,"EXPRESS, INC.",Segment Revenue by Channel - Outlet Revenue,71,Segment Revenue by Channel
EXPR,"EXPRESS, INC.",Segment Revenue by Channel - Retail Revenue,72,Segment Revenue by Channel
EXPR,"EXPRESS, INC.",Segment Revenue by Product - Accessories and other Revenue,73,Segment Revenue by Product
EXPR,"EXPRESS, INC.",Segment Revenue by Product - Apparel Revenue,74,Segment Revenue by Product
EXPR,"EXPRESS, INC.",Segment Revenue by Product - Other Product revenue,75,Segment Revenue by Product
GCO,GENESCO INC,Segment Revenue - Corporate and Other Revenue,76,Segment Revenue
GCO,GENESCO INC,Segment Revenue - Johnston & Murphy Group Revenue,77,Segment Revenue
GCO,GENESCO INC,Segment Revenue - Journeys Group Revenue,78,Segment Revenue
GCO,GENESCO INC,Segment Revenue - Licensed Brands Revenue,79,Segment Revenue
GCO,GENESCO INC,Segment Revenue - Schuh Group Revenue,80,Segment Revenue
GCO,GENESCO INC,Stores - Store Closed,81,Stores
GCO,GENESCO INC,Stores - Total Stores,46,Stores
GES,GUESS INC,Revenue by Geographic area - Canada,82,Revenue by Geographic area
