industry,kpi_name,kpi_id,kpi_category
Apparel Retailers,Geographic Revenue - Revenue from Foreign,0,Geographic Revenue
Apparel Retailers,Geographic Revenue - Revenue from United States,1,Geographic Revenue
Apparel Retailers,Inventory - Total Consolidated-ending Inventory at Cost,2,Inventory
Apparel Retailers,New Stores Openings - AE77 Store ,3,New Stores Openings
Apparel Retailers,New Stores Openings - Aerie Side-by-side Store ,4,New Stores Openings
Apparel Retailers,New Stores Openings - Aerie stand-alone Store ,5,New Stores Openings
Apparel Retailers,New Stores Openings - Todd Snyder Store ,6,New Stores Openings
Apparel Retailers,New Stores Openings - Unsubscribed Store,7,New Stores Openings
Apparel Retailers,Segment Revenue - Aerie Revenue,8,Segment Revenue
Apparel Retailers,Segment Revenue - American Eagle Revenue,9,Segment Revenue
Apparel Retailers,Segment Revenue - Corporate Revenue,10,Segment Revenue
Apparel Retailers,Store Closures - Aerie Stand-alone Store,11,Store Closures
Apparel Retailers,Store Closures - American Eagle Brand Store,12,Store Closures
Apparel Retailers,Total Stores - International Licensed/Franchised Stores,13,Total Stores
Apparel Retailers,"Total Stores - International Third-Party Operated Stores, non-Inclusive in the Consolidated Store Data",14,Total Stores
Apparel Retailers,"Total Stores - Total Consolidated Stores, Inclusive of New Openings",15,Total Stores
Apparel Retailers,Total Stores Area - Total Gross Square Footage,16,Total Stores Area
Apparel Retailers,Net Sales by Brand - Abercrombie,17,Net Sales by Brand
Apparel Retailers,Net Sales by Brand - Hollister,18,Net Sales by Brand
Apparel Retailers,Net Sales by Region - APAC,19,Net Sales by Region
Apparel Retailers,Net Sales by Region - EMEA,20,Net Sales by Region
Apparel Retailers,Net Sales by Region - Other,21,Net Sales by Region
Apparel Retailers,Net Sales by Region - United States,22,Net Sales by Region
Apparel Retailers,Company Operated Stores - Canada,23,Company Operated Stores
Apparel Retailers,Company Operated Stores - United States,24,Company Operated Stores
Apparel Retailers,New Store Count - Company Operated stores,25,New Store Count
Apparel Retailers,New Store Count - Partner operated stores,26,New Store Count
Apparel Retailers,New Stores Openings - Company-Operated Stores ,27,New Stores Openings
Apparel Retailers,New Stores Openings - Partner-Operated Stores,28,New Stores Openings
Apparel Retailers,Partner Operated Stores - International,29,Partner Operated Stores
Apparel Retailers,Partner Operated Stores - International- Travel Retail,30,Partner Operated Stores
Apparel Retailers,Partner operated stores,31,Partner operated stores
Apparel Retailers,Segment Revenue - Bath & Body Works Direct,32,Segment Revenue
Apparel Retailers,Segment Revenue - Bath & Body Works International,33,Segment Revenue
Apparel Retailers,Segment Revenue - Bath & Body Works Stores - U.S. and Canada,34,Segment Revenue
Apparel Retailers,Segment Revenue - Victoria's Secret Direct,35,Segment Revenue
Apparel Retailers,Segment Revenue - Victoria's Secret International,36,Segment Revenue
Apparel Retailers,Segment Revenue - Victoria's Secret Stores - U.S. and Canada,37,Segment Revenue
Apparel Retailers,Store Closures - Company-Operated Stores ,38,Store Closures
Apparel Retailers,Store Closures - Partner-Operated Stores,39,Store Closures
Apparel Retailers,Sales - Comparable Sales,40,Sales
Apparel Retailers,Segment Revenue - Chico's Revenue,41,Segment Revenue
Apparel Retailers,Segment Revenue - Soma Revenue,42,Segment Revenue
Apparel Retailers,Segment Revenue - White House Black Market Revenue,43,Segment Revenue
Apparel Retailers,Selling Square Footage - Net Selling Square Footage (SSF),44,Selling Square Footage
Apparel Retailers,Stores - Franchised Stores,45,Stores
Apparel Retailers,Stores - Total Stores,46,Stores
Apparel Retailers,Stores - Chico's Frontline Boutiques ,47,Stores
Apparel Retailers,Stores - Chico's Outlets ,48,Stores
Apparel Retailers,Stores - Soma Frontline Boutiques ,49,Stores
Apparel Retailers,Stores - Soma Outlets ,50,Stores
Apparel Retailers,Stores - WHBM Frontline Boutiques ,51,Stores
Apparel Retailers,Stores - WHBM Outlets ,52,Stores
Apparel Retailers,Stores - Store Closures,53,Stores
Apparel Retailers,Geographic Net Sales - International,54,Geographic Net Sales
Apparel Retailers,Geographic Net Sales - U.S. Retail,55,Geographic Net Sales
Apparel Retailers,Geographic Net Sales - U.S. Wholesale,56,Geographic Net Sales
Apparel Retailers,Revenue by Source - Direct-to-consumer,57,Revenue by Source
Apparel Retailers,Revenue by Source - Wholesale channel,58,Revenue by Source
Apparel Retailers,Revenue by Product Category - Apparel Net Sales,59,Revenue by Product Category
Apparel Retailers,Revenue by Product Category - Non-Apparel Net Sales,60,Revenue by Product Category
Apparel Retailers,Segment Revenue - Direct-to-consumer,61,Segment Revenue
Apparel Retailers,Segment Revenue - Stores,62,Segment Revenue
Apparel Retailers,No. of Company-Operated Stores - Closed,63,No. of Company-Operated Stores
Apparel Retailers,No. of Company-Operated Stores - Express Edit Concept Stores,64,No. of Company-Operated Stores
Apparel Retailers,No. of Company-Operated Stores - Opened,65,No. of Company-Operated Stores
Apparel Retailers,No. of Company-Operated Stores - Outlet Stores,66,No. of Company-Operated Stores
Apparel Retailers,No. of Company-Operated Stores - Retail Stores,67,No. of Company-Operated Stores
Apparel Retailers,No. of Company-Operated Stores - Store Count,68,No. of Company-Operated Stores
Apparel Retailers,No. of Company-Operated Stores - UpWest Stores,69,No. of Company-Operated Stores
Apparel Retailers,Segment Revenue by Channel - Other Channel revenue,70,Segment Revenue by Channel
