kpi_unit,kpi_formula,kpi_output_type,kpi_source,kpi_name,kpi_id,kpi_category
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenue - Revenue from Foreign,0,Geographic Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenue - Revenue from United States,1,Geographic Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Inventory - Total Consolidated-ending Inventory at Cost,2,Inventory
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Stores Openings - AE77 Store ,3,New Stores Openings
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Stores Openings - Aerie Side-by-side Store ,4,New Stores Openings
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Stores Openings - Aerie stand-alone Store ,5,New Stores Openings
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Stores Openings - Todd Snyder Store ,6,New Stores Openings
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Stores Openings - Unsubscribed Store,7,New Stores Openings
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Aerie Revenue,8,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - American Eagle Revenue,9,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Corporate Revenue,10,Segment Revenue
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - Aerie Stand-alone Store,11,Store Closures
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - American Eagle Brand Store,12,Store Closures
stores,"SUM(A1,A2,…,An)",$,EventVester,Total Stores - International Licensed/Franchised Stores,13,Total Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,"Total Stores - International Third-Party Operated Stores, non-Inclusive in the Consolidated Store Data",14,Total Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,"Total Stores - Total Consolidated Stores, Inclusive of New Openings",15,Total Stores
sqf,"SUM(A1,A2,…,An)",A,EventVester,Total Stores Area - Total Gross Square Footage,16,Total Stores Area
$,A,$,EventVester,Net Sales by Brand - Abercrombie,17,Net Sales by Brand
$,A,$,EventVester,Net Sales by Brand - Hollister,18,Net Sales by Brand
$,A,$,EventVester,Net Sales by Region - APAC,19,Net Sales by Region
$,A,$,EventVester,Net Sales by Region - EMEA,20,Net Sales by Region
$,A,$,EventVester,Net Sales by Region - Other,21,Net Sales by Region
$,A,$,EventVester,Net Sales by Region - United States,22,Net Sales by Region
stores,"SUM(A1,A2,…,An)",$,EventVester,Company Operated Stores - Canada,23,Company Operated Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Company Operated Stores - United States,24,Company Operated Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Store Count - Company Operated stores,25,New Store Count
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Store Count - Partner operated stores,26,New Store Count
