kpi_tags,kpi_name,kpi_id,kpi_category
"geographic,  revenue,  revenue,  foreign, aeo, american eagle outfitters, apparel retailers",Geographic Revenue - Revenue from Foreign,0,Geographic Revenue
"geographic,  revenue,  revenue,  unitedstates, aeo, american eagle outfitters, apparel retailers",Geographic Revenue - Revenue from United States,1,Geographic Revenue
"inventory,  total consolidated ending inventory, at cost, aeo, american eagle outfitters, apparel retailers",Inventory - Total Consolidated-ending Inventory at Cost,2,Inventory
"new store,  openings,  ae77,  store, aeo, american eagle outfitters, apparel retailers",New Stores Openings - AE77 Store ,3,New Stores Openings
"new store,  openings,  aerie, side by side,  store, aeo, american eagle outfitters, apparel retailers",New Stores Openings - Aerie Side-by-side Store ,4,New Stores Openings
"new store,  openings,  aeriest,  alone,  store, aeo, american eagle outfitters, apparel retailers",New Stores Openings - Aerie stand-alone Store ,5,New Stores Openings
"new store,  openings,  toddsnyder,  store, aeo, american eagle outfitters, apparel retailers",New Stores Openings - Todd Snyder Store ,6,New Stores Openings
"new store,  openings,  unsubscribed,  store, aeo, american eagle outfitters, apparel retailers",New Stores Openings - Unsubscribed Store,7,New Stores Openings
"segment,  revenue,  aerie,  revenue, aeo, american eagle outfitters, apparel retailers",Segment Revenue - Aerie Revenue,8,Segment Revenue
"segment,  revenue,  americaneagle,  revenue, aeo, american eagle outfitters, apparel retailers",Segment Revenue - American Eagle Revenue,9,Segment Revenue
"segment,  revenue,  corporate,  revenue, aeo, american eagle outfitters, apparel retailers",Segment Revenue - Corporate Revenue,10,Segment Revenue
"storeclosures,  aeriest,  alone,  store, aeo, american eagle outfitters, apparel retailers",Store Closures - Aerie Stand-alone Store,11,Store Closures
"storeclosures,  american eagle,  store, aeo, american eagle outfitters, apparel retailers",Store Closures - American Eagle Brand Store,12,Store Closures
"total,  stores, aeo, american eagle outfitters, apparel retailers",Total Stores - International Licensed/Franchised Stores,13,Total Stores
