var_a_type,var_a_name,var_b_type,var_b_name,kpi_name,kpi_id,kpi_category
Ai,Geographic Revenue,n,Number of Regions,Geographic Revenue - Revenue from Foreign,0,Geographic Revenue
Ai,Geographic Revenue,n,Number of Regions,Geographic Revenue - Revenue from United States,1,Geographic Revenue
Ai,Total inventory,n,Number of Locations,Inventory - Total Consolidated-ending Inventory at Cost,2,Inventory
Ai,New Stores Openings,n,Number of Stores,New Stores Openings - AE77 Store ,3,New Stores Openings
Ai,New Stores Openings,n,Number of Stores,New Stores Openings - Aerie Side-by-side Store ,4,New Stores Openings
Ai,New Stores Openings,n,Number of Stores,New Stores Openings - Aerie stand-alone Store ,5,New Stores Openings
Ai,New Stores Openings,n,Number of Stores,New Stores Openings - Todd Snyder Store ,6,New Stores Openings
Ai,New Stores Openings,n,Number of Stores,New Stores Openings - Unsubscribed Store,7,New Stores Openings
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Aerie Revenue,8,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - American Eagle Revenue,9,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Corporate Revenue,10,Segment Revenue
Ai,Stores Closures,n,Number of Stores,Store Closures - Aerie Stand-alone Store,11,Store Closures
Ai,Stores Closures,n,Number of Stores,Store Closures - American Eagle Brand Store,12,Store Closures
Ai,Total Stores Franchise,n,Number of Stores,Total Stores - International Licensed/Franchised Stores,13,Total Stores
Ai,Total Stores,n,Number of Stores,"Total Stores - International Third-Party Operated Stores, non-Inclusive in the Consolidated Store Data",14,Total Stores
Ai,Total New Stores Openings,n,Number of Stores,"Total Stores - Total Consolidated Stores, Inclusive of New Openings",15,Total Stores
Ai,Total Gross Stores,n,Number of Stores,Total Stores Area - Total Gross Square Footage,16,Total Stores Area
A,Brand Revenue previous period,,,Net Sales by Brand - Abercrombie,17,Net Sales by Brand
A,Brand Revenue previous period,,,Net Sales by Brand - Hollister,18,Net Sales by Brand
A,Net Sales,,,Net Sales by Region - APAC,19,Net Sales by Region
A,Net Sales,,,Net Sales by Region - EMEA,20,Net Sales by Region
A,Net Sales,,,Net Sales by Region - Other,21,Net Sales by Region
A,Net Sales,,,Net Sales by Region - United States,22,Net Sales by Region
Ai,Stores,n,Number of Stores,Company Operated Stores - Canada,23,Company Operated Stores
Ai,Stores,n,Number of Stores,Company Operated Stores - United States,24,Company Operated Stores
Ai,New Stores Count,n,Number of Stores,New Store Count - Company Operated stores,25,New Store Count
Ai,New Stores Count,n,Number of Stores,New Store Count - Partner operated stores,26,New Store Count
Ai,New Stores Openings,n,Number of Stores,New Stores Openings - Company-Operated Stores ,27,New Stores Openings
Ai,New Stores Openings,n,Number of Stores,New Stores Openings - Partner-Operated Stores,28,New Stores Openings
Ai,Stores,n,Number of Stores,Partner Operated Stores - International,29,Partner Operated Stores
Ai,Stores,n,Number of Stores,Partner Operated Stores - International- Travel Retail,30,Partner Operated Stores
Ai,Stores,n,Number of Stores,Partner operated stores,31,Partner operated stores
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Bath & Body Works Direct,32,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Bath & Body Works International,33,Segment Revenue
Ai,Segment Stores Revenue,n,Number of Stores,Segment Revenue - Bath & Body Works Stores - U.S. and Canada,34,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Victoria's Secret Direct,35,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Victoria's Secret International,36,Segment Revenue
Ai,Segment Stores Revenue,n,Number of Stores,Segment Revenue - Victoria's Secret Stores - U.S. and Canada,37,Segment Revenue
Ai,Stores Closures,n,Number of Stores,Store Closures - Company-Operated Stores ,38,Store Closures
Ai,Stores Closures,n,Number of Stores,Store Closures - Partner-Operated Stores,39,Store Closures
A,Sales,B,Sales previous period,Sales - Comparable Sales,40,Sales
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Chico's Revenue,41,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Soma Revenue,42,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - White House Black Market Revenue,43,Segment Revenue
A,Net Selling,B,Selling Square Footage previous value,Selling Square Footage - Net Selling Square Footage (SSF),44,Selling Square Footage
Ai,Stores Franchise,n,Number of Stores,Stores - Franchised Stores,45,Stores
Ai,Total Stores,n,Number of Stores,Stores - Total Stores,46,Stores
Ai,Stores,n,Number of Stores,Stores - Chico's Frontline Boutiques ,47,Stores
Ai,Stores,n,Number of Stores,Stores - Chico's Outlets ,48,Stores
Ai,Stores,n,Number of Stores,Stores - Soma Frontline Boutiques ,49,Stores
Ai,Stores,n,Number of Stores,Stores - Soma Outlets ,50,Stores
Ai,Stores,n,Number of Stores,Stores - WHBM Frontline Boutiques ,51,Stores
Ai,Stores,n,Number of Stores,Stores - WHBM Outlets ,52,Stores
Ai,Stores Closures,n,Number of Stores,Stores - Store Closures,53,Stores
A,Net Geographic Sales,B,Previous Period Sales,Geographic Net Sales - International,54,Geographic Net Sales
A,Net Geographic Sales,B,Previous Period Sales,Geographic Net Sales - U.S. Retail,55,Geographic Net Sales
A,Net Geographic Sales,B,Previous Period Sales,Geographic Net Sales - U.S. Wholesale,56,Geographic Net Sales
A,Sum of Revenue,,,Revenue by Source - Direct-to-consumer,57,Revenue by Source
A,Revenue,,,Revenue by Source - Wholesale channel,58,Revenue by Source
A,Net Sales Revenue,B,Sales Revenue previous period,Revenue by Product Category - Apparel Net Sales,59,Revenue by Product Category
A,Net Sales Revenue,B,Sales Revenue previous period,Revenue by Product Category - Non-Apparel Net Sales,60,Revenue by Product Category
Ai,Segment Sum of Revenue,n,Number of Segments,Segment Revenue - Direct-to-consumer,61,Segment Revenue
Ai,Segment Stores Revenue,n,Number of Stores,Segment Revenue - Stores,62,Segment Revenue
Ai,Stores,n,Number of Stores,No. of Company-Operated Stores - Closed,63,No. of Company-Operated Stores
Ai,Stores,n,Number of Stores,No. of Company-Operated Stores - Express Edit Concept Stores,64,No. of Company-Operated Stores
Ai,Stores,n,Number of Stores,No. of Company-Operated Stores - Opened,65,No. of Company-Operated Stores
Ai,Stores,n,Number of Stores,No. of Company-Operated Stores - Outlet Stores,66,No. of Company-Operated Stores
Ai,Stores,n,Number of Stores,No. of Company-Operated Stores - Retail Stores,67,No. of Company-Operated Stores
Ai,Stores Count,n,Number of Stores,No. of Company-Operated Stores - Store Count,68,No. of Company-Operated Stores
Ai,Stores,n,Number of Stores,No. of Company-Operated Stores - UpWest Stores,69,No. of Company-Operated Stores
A,Segment Revenue,,,Segment Revenue by Channel - Other Channel revenue,70,Segment Revenue by Channel
A,Segment Revenue,,,Segment Revenue by Channel - Outlet Revenue,71,Segment Revenue by Channel
A,Segment Revenue,,,Segment Revenue by Channel - Retail Revenue,72,Segment Revenue by Channel
A,Segment Revenue,,,Segment Revenue by Product - Accessories and other Revenue,73,Segment Revenue by Product
A,Segment Revenue,,,Segment Revenue by Product - Apparel Revenue,74,Segment Revenue by Product
A,Segment Revenue,,,Segment Revenue by Product - Other Product revenue,75,Segment Revenue by Product
A,Segment Revenue,,,Segment Revenue - Corporate and Other Revenue,76,Segment Revenue
A,Segment Revenue,,,Segment Revenue - Johnston & Murphy Group Revenue,77,Segment Revenue
A,Segment Revenue,,,Segment Revenue - Journeys Group Revenue,78,Segment Revenue
A,Segment Revenue,,,Segment Revenue - Licensed Brands Revenue,79,Segment Revenue
A,Segment Revenue,,,Segment Revenue - Schuh Group Revenue,80,Segment Revenue
Ai,Stores,n,Number of Stores,Stores - Store Closed,81,Stores
Ai,Total Stores,n,Number of Stores,Stores - Total Stores,46,Stores
A,Geographic Revenue,,,Revenue by Geographic area - Canada,82,Revenue by Geographic area
A,Geographic Revenue,,,Revenue by Geographic area - Germany,83,Revenue by Geographic area
A,Geographic Revenue,,,Revenue by Geographic area - Italy,84,Revenue by Geographic area
A,Geographic Count Revenue,,,Revenue by Geographic area - Other foreign countries,85,Revenue by Geographic area
A,Geographic Revenue,,,Revenue by Geographic area - South Korea,86,Revenue by Geographic area
A,Geographic Revenue,,,Revenue by Geographic area - Spain,87,Revenue by Geographic area
A,Geographic Revenue,,,Revenue by Geographic area - U.S.,88,Revenue by Geographic area
A,Net Revenue,B,Revenue previous period,Revenue by Product - Net royalties ,89,Revenue by Product
A,Sales Revenue,,,Revenue by Product - Product sales,90,Revenue by Product
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Americas Retail,91,Segment Revenue
A,Segment Sales Revenue,B,Segments,Segment Revenue - Americas Retail comp sales,92,Segment Revenue
A,Segment Sales Revenue,B,Segments,Segment Revenue - Americas Retail comp sales,92,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Americas Wholesale,93,Segment Revenue
A,Segment Revenue,B,Segments,Segment Revenue - Americas Wholesale,93,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Asia,94,Segment Revenue
A,Segment Sales Revenue,B,Segments,Segment Revenue - Asia Retail comp sales,95,Segment Revenue
A,Segment Sales Revenue,B,Segments,Segment Revenue - Asia Retail comp sales,95,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Europe,96,Segment Revenue
A,Segment Sales Revenue,B,Segments,Segment Revenue - Europe Retail comp sales,97,Segment Revenue
A,Segment Sales Revenue,B,Segments,Segment Revenue - Europe Retail comp sales,97,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Licensing,98,Segment Revenue
A,Segment Revenue,B,Segments,Segment Revenue - Licensing,98,Segment Revenue
A,Brand Revenue previous period,,,Sales by Brand - Athleta Sales,99,Sales by Brand
A,Brand Revenue previous period,,,Sales by Brand - Banana Republic Global Sales,100,Sales by Brand
A,Brand Revenue previous period,,,Sales by Brand - Gap Global,101,Sales by Brand
A,Brand Revenue previous period,,,Sales by Brand - Gap Global Sales,102,Sales by Brand
A,Brand Revenue previous period,,,Sales by Brand - Old Navy Global,103,Sales by Brand
A,Brand Revenue previous period,,,Sales by Brand - Old Navy Global Sales,104,Sales by Brand
A,Brand Revenue previous period,,,Sales by Brand - Other Sales,105,Sales by Brand
A,Brand Revenue previous period,,,Sales by Brand - Total net sales,106,Sales by Brand
A,Geographic Sales,,,Sales by Geographic Region - Asia Sales,107,Sales by Geographic Region
A,Geographic Sales,,,Sales by Geographic Region - Canada Sales,108,Sales by Geographic Region
A,Geographic Sales,,,Sales by Geographic Region - Europe Sales,109,Sales by Geographic Region
A,Geographic Sales,,,Sales by Geographic Region - Other Regions Sales,110,Sales by Geographic Region
A,Total Net Geographic Sales,B,Total Net Geographic Sales previous value,Sales by Geographic Region - Total net sales,111,Sales by Geographic Region
A,Total Geographic Sales,,,Sales by Geographic Region - total sales ,112,Sales by Geographic Region
A,Geographic Sales,,,Sales by Geographic Region - U.S. Sales,113,Sales by Geographic Region
A,Segment Sales,B,Segment Sales previous period,Segment Sales - Online sales,114,Segment Sales
Ai,Segment Stores Sales,n,Number of Stores,Segment Sales - Store sales,115,Segment Sales
A,Segment Total Net Sales,B,Previous Period Sales,Segment Sales - Total net sales,116,Segment Sales
A,Revenue,,,Revenues by Category - Credit card revenues,117,Revenues by Category
A,Sales,B,Sales previous period,Sales - Anniversary Event Sales,118,Sales
A,Sales,B,Sales previous period,Sales - Digital Sales,119,Sales
Ai,Segment Sales Revenue,n,Number of Segments,Segment Revenue - Nordstrom Rack Sales,120,Segment Revenue
Ai,Segment Sales Revenue,n,Number of Segments,Segment Revenue - Nordstrom Sales,121,Segment Revenue
